Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-2293.3223	1289.565	-1219.3846	-6164.01	184.33333	-0.10723437	0.3820293	0.69272995	-0.64624596	4000	-5.5968762e-08	963615.8	-0.020163747	-8767.1875	0.9189385	0.015206985	0.12725	31.0	46.77471446990967
1	-2130.7146	918.9563	-1258.127	-5250.842	174.68182	-4.866542	1.113543	-0.58138865	-5.747838	8000	-1.013279e-09	870700.56	-0.005356371	-6287.25	0.9143133	0.015876992	0.167	6.0	93.24782633781433
2	-3772.7197	2333.6672	-1352.0743	-8261.673	255.26666	-8.375092	1.1967309	2.8184323	-8.844021	12000	5.3048133e-08	1660380.8	-0.017910548	-7630.25	0.91333616	0.015131602	0.1165	35.0	139.94517707824707
3	-2792.7139	1728.6593	-1312.7817	-6837.191	208.26315	-11.770305	0.2306334	-7.802897	-11.862862	16000	4.3988226e-08	1175588.9	-0.019333681	-4641.875	0.9124303	0.015020067	0.12825	37.0	186.50717091560364
4	-2295.9326	1188.4225	-1084.0885	-5556.379	180.63637	-14.109814	0.33238292	-8.542361	-14.209909	20000	-9.208917e-09	988372.1	-0.01741443	-3790.75	0.9112253	0.015324463	0.1285	31.0	233.13959860801697
5	-2799.2056	1597.03	-1256.8804	-6306.8975	209.05263	-16.266703	0.14291054	-13.69378	-16.305174	24000	-1.3947487e-08	1221901.1	-0.013275167	-4494.25	0.91430974	0.01606994	0.1295	16.0	279.6387662887573
6	-2538.5945	2053.0557	-1218.488	-10006.917	193.4	-18.526396	0.092806056	-17.541286	-18.561045	28000	-3.8176776e-08	1184404.6	-0.013478486	-4195.125	0.9132665	0.015214103	0.111	16.0	326.0596749782562
7	-2172.6365	974.73193	-1236.8707	-5817.754	172.47826	-20.718948	0.1269393	-17.229288	-20.738722	32000	-1.8113852e-07	864344.6	-0.025298025	-3293.875	0.91351384	0.015055097	0.14625	79.0	373.1492483615875
8	-1947.1406	748.20215	-1096.9332	-4415.2075	164.20833	-22.668406	0.053236533	-21.28444	-22.684198	36000	-3.513694e-08	768896.06	-0.012060272	-2885.125	0.9093478	0.015013097	0.12475	15.0	419.4469542503357
9	-2689.4146	2656.5708	-1153.9753	-11637.993	197.7	-24.439907	0.34534755	-20.594248	-24.515213	40000	-9.810925e-08	1311721.9	-0.01901119	-4573.5	0.90895325	0.015377424	0.1165	26.0	465.7410686016083
10	-1797.9475	454.18384	-1168.1334	-2621.3108	159.28	-26.742113	0.026388984	-26.196201	-26.750168	44000	-5.39124e-08	641046.4	-0.020597477	-2604.375	0.9063728	0.015193004	0.11175	40.0	512.157007932663
11	-3712.0447	5785.953	-1336.3396	-26540.148	233.64706	-28.50325	0.090676226	-26.71734	-28.521687	48000	6.446243e-08	2473116.8	-0.024959693	-6974.0	0.91072005	0.01507856	0.135	35.0	558.2677264213562
12	-2093.459	703.9141	-1181.6145	-4459.3325	175.13637	-31.253462	0.013855014	-30.988722	-31.257574	52000	-6.2584875e-09	779673.56	-0.02472881	-3055.875	0.9146571	0.013880676	0.1375	79.0	604.9166297912598
13	-2268.9944	971.8263	-1235.7987	-5162.6426	181.13637	-33.156727	0.012707133	-32.95146	-33.16043	56000	-3.451109e-08	891129.1	-0.016581431	-3294.3125	0.91201514	0.015022726	0.107	38.0	651.1526691913605
14	-1871.5199	426.61716	-1205.6788	-2757.6582	165.70833	-35.07764	0.009240587	-34.956493	-35.081055	60000	4.10974e-08	667268.1	-0.021311156	-2603.625	0.91495705	0.01509383	0.146	39.0	697.4640085697174
